datetime,month,day,hour,minute,day_of_week,inlet_temp,heating_system,heating_ambient,heating_outlet,cooling_system,cooling_ambient,cooling_outlet
1/1/2017 0:00,1,0,0,-3.0,92.0,23,0.0,0.0,15.003556004573051,0.0,0.0,15.00288266408301
1/1/2017 1:00,1,1,1,-3.0,77.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003524565868723
1/1/2017 2:00,1,2,2,-4.0,77.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003708565868724
1/1/2017 3:00,1,3,3,-2.0,78.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003708565868724
1/1/2017 4:00,1,4,4,-2.0,85.0,23,0.0,0.0,15.00615300948874,0.0,0.0,15.00459944639149
1/1/2017 5:00,1,5,5,-1.0,92.0,23,0.0,0.0,15.004085272701463,0.0,0.0,15.004362422533777
1/1/2017 6:00,1,6,6,-1.0,100.0,23,0.0,0.0,15.004053131048703,0.0,0.0,15.00380131991673
1/1/2017 7:00,1,7,0,-1.0,100.0,23,11765050.0,26580242.0,14.42209282424243,0.0,0.0,14.485442675324677
1/1/2017 8:00,1,8,1,0.0,92.0,23,6886215.2,17479768.0,14.885270490909097,0.0,0.0,14.82086667532468
1/1/2017 9:00,1,9,2,2.0,80.0,23,4046721.8,9939427.6,14.949752791957092,0.0,0.0,14.88518667532468
1/1/2017 10:00,1,10,3,2.0,80.0,23,0.0,0.0,14.949717615486502,0.0,0.0,14.948771204793276
1/1/2017 11:00,1,11,4,1.0,79.0,23,8979.6,20306.8,14.948660791957089,0.0,0.0,14.947076230880235
1/1/2017 12:00,1,12,5,3.0,63.0,23,8016422.0,20739068.0,14.949462791957089,0.0,0.0,14.949024230880234
1/1/2017 13:00,1,13,6,2.0,62.0,23,2300566.6,4878761.2,14.947957046464651,0.0,0.0,14.948312230880234
1/1/2017 14:00,1,14,0,1.0,67.0,23,1502942.8,2979308.4,14.935594824242425,0.0,0.0,14.878293230880232
1/1/2017 15:00,1,15,1,1.0,67.0,23,1311708.22,2194443.8,14.949710490909096,0.0,0.0,14.891941230880233
1/1/2017 16:00,1,16,2,0.0,72.0,23,1240910.86,2168352.4,14.94979279195709,0.0,0.0,14.891941230880233
1/1/2017 17:00,1,17,3,-1.0,78.0,23,0.0,0.0,14.9497576154865,0.0,0.0,14.948719204793276
1/1/2017 18:00,1,18,4,-2.0,71.0,23,0.0,0.0,14.94748879195709,0.0,0.0,14.948324230880232
1/1/2017 19:00,1,19,5,-4.0,71.0,23,8531286.4,21819426.2,14.895246791957089,0.0,0.0,14.814596707070708
1/1/2017 20:00,1,20,6,-5.0,84.0,23,0.0,0.0,15.003400729422838,0.0,0.0,15.003509940186902
1/1/2017 21:00,1,21,0,-6.0,100.0,23,0.0,0.0,15.00372358217003,0.0,0.0,15.003674328975862
1/1/2017 22:00,1,22,1,-7.0,84.0,23,0.0,0.0,14.93138208168584,0.0,0.0,14.774283368530266
1/1/2017 23:00,1,23,2,-7.0,84.0,23,0.0,0.0,14.93138208168584,0.0,0.0,14.775821368530266
1/2/2017 0:00,1,0,3,-9.0,84.0,23,0.0,0.0,15.003956004573048,0.0,0.0,15.003805662642916
1/2/2017 1:00,1,1,4,-10.0,91.0,23,0.0,0.0,15.024258873173244,0.0,0.0,15.023016549738285
1/2/2017 2:00,1,2,5,-10.0,91.0,23,0.0,0.0,14.860963539839911,0.0,0.0,14.698046549738285
1/2/2017 3:00,1,3,6,-11.0,91.0,23,0.0,0.0,15.012791551206474,0.0,0.0,15.014244645656033
1/2/2017 4:00,1,4,0,-12.0,91.0,23,0.0,0.0,15.003556004573051,0.0,0.0,15.002979760857205
1/2/2017 5:00,1,5,1,-15.0,83.0,23,0.0,0.0,15.003956004573048,0.0,0.0,15.003621662642916
1/2/2017 6:00,1,6,2,-14.0,83.0,23,0.0,0.0,15.003956004573048,0.0,0.0,15.003805662642916
1/2/2017 7:00,1,7,3,-13.0,83.0,23,0.0,0.0,14.949846251850138,0.0,0.0,14.948902096964993
1/2/2017 8:00,1,8,4,-11.0,84.0,23,81764.2,168335.52,14.87910079195709,0.0,0.0,14.875626675324678
1/2/2017 9:00,1,9,5,-7.0,64.0,23,14644278.0,50358042.0,14.94950879195709,0.0,0.0,14.94896067532468
1/2/2017 10:00,1,10,6,-6.0,59.0,23,6193192.133333334,15421072.0,14.947873046464652,0.0,0.0,14.948312230880234
1/2/2017 11:00,1,11,0,-6.0,59.0,23,4018797.8,5038895.4,14.935454824242427,0.0,0.0,14.87152123088023
1/2/2017 12:00,1,12,1,-5.0,54.0,23,1772227.6,4199981.8,14.949690490909097,0.0,0.0,14.885221230880234
1/2/2017 13:00,1,13,2,-5.0,54.0,23,1680800.0,3226451.6,14.949772791957091,0.0,0.0,14.891993230880235
1/2/2017 14:00,1,14,3,-6.0,77.0,23,0.0,0.0,14.9497576154865,0.0,0.0,14.948771204793276
1/2/2017 15:00,1,15,4,-7.0,92.0,23,197679.6,479297.08,14.86809679195709,0.0,0.0,14.785936230880234
1/2/2017 16:00,1,16,5,-8.0,92.0,23,5909074.0,14469824.6,14.876514791957089,0.0,0.0,14.821548230880232
1/2/2017 17:00,1,17,6,-8.0,92.0,23,5536287.4,13591325.4,14.87498904646465,0.0,0.0,14.820836230880234
1/2/2017 18:00,1,18,0,-9.0,84.0,23,4398368.0,11944666.0,14.814550824242424,0.0,0.0,14.87538423088023
1/2/2017 19:00,1,19,1,-11.0,84.0,23,5534036.8,15467942.0,14.892594490909094,0.0,0.0,14.863311564213564
1/2/2017 20:00,1,20,2,-11.0,91.0,23,0.0,0.0,15.00412308217003,0.0,0.0,15.003913812164896
1/2/2017 21:00,1,21,3,-11.0,91.0,23,96625.0,444723.0,15.003973833389546,0.0,0.0,15.00388482645061
1/2/2017 22:00,1,22,4,-12.0,83.0,23,241170.12,963239.4,14.761707740270326,0.0,0.0,14.677948732620502
1/2/2017 23:00,1,23,5,-12.0,83.0,23,192114.92,857094.0,14.92579882942284,0.0,0.0,15.003785527488489
1/3/2017 0:00,1,0,6,-13.0,83.0,23,0.0,0.0,15.006426121998004,0.0,0.0,15.005460342331439
1/3/2017 1:00,1,1,0,-13.2,79.0,23,0.0,0.0,15.00337200457305,0.0,0.0,15.002981662642918
1/3/2017 2:00,1,2,1,-13.6,77.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003621662642916
1/3/2017 3:00,1,3,2,-14.0,76.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003805662642916
1/3/2017 4:00,1,4,3,-14.0,76.0,23,0.0,0.0,15.00385200457305,0.0,0.0,15.003805662642916
1/3/2017 5:00,1,5,4,-14.0,76.0,23,0.0,0.0,14.938818597810926,0.0,0.0,14.850767553412245
