response,model_type,rmse,nmbe,cvrmse
HeatingElectricity,LinearModel,1195714.6220685702,11.07178820899159,448.18784460696304
CoolingElectricity,LinearModel,3662286.250010922,17.095092578160866,194.8927579084625
DistrictCoolingChilledWaterEnergy,LinearModel,15979021.389442557,18.900311272053486,198.36308353273583
DistrictHeatingHotWaterEnergy,LinearModel,3145299.1291209282,11.813292057695582,461.0008107189979
ETSHeatingOutletTemperature,LinearModel,1.3269194960367297,-0.9670331585645987,4.942128154521334
ETSCoolingOutletTemperature,LinearModel,1.3269194960367297,-0.9670331585645987,4.942128154521334
HeatingElectricity,RandomForest,134507.23813315947,-1.0849074184366865,50.41713802800608
CoolingElectricity,RandomForest,881645.7835789588,15.959051280702703,46.91779029002944
DistrictCoolingChilledWaterEnergy,RandomForest,1419124.3283737095,4.197352956511868,17.616966072685894
DistrictHeatingHotWaterEnergy,RandomForest,350677.6414911101,1.2752408757893485,51.39818834134563
ETSHeatingOutletTemperature,RandomForest,1.3019263712647569,-1.3080614874235552,4.8490409506826975
ETSCoolingOutletTemperature,RandomForest,1.2595883740829044,-1.2995878033218342,4.691352553983847
