"","lm","cart","cart_pruned","rf"
"Heating Outlet Temperature",0.979848561375764,0.954443761825595,0.919567201496052,0.997115570009342
"Heating Electricity",0.325312888042161,0.719812554706727,0.455393403194621,0.994389134054408
"District Heating Power",0.328394241393725,0.718471377038243,0.718471377038243,0.99605239326099
"Cooling Outlet Temperature",0.942746378496427,0.92192478974898,0.888881887128282,0.9965134259835
"Cooling Electricity",0.658158510891356,0.726625210268125,0.595455581397261,0.997616823549479
"District Cooling Power",0.669153860090026,0.728253955908049,0.728253955908049,0.998461741043868
