,year,Month,DayofWeek,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,ETSInletTemperature,lpd_average,Modeled RF HeatingElectricity,Modeled RF CoolingElectricity,Modeled RF DistrictCoolingChilledWaterEnergy,Modeled RF DistrictHeatingHotWaterEnergy,Modeled RF ETSHeatingOutletTemperature,Modeled RF ETSCoolingOutletTemperature
0,1999,1,1,1,0,-3.0,-4.0,92.0,1/1/2017 0:00,20,9.4,3952.591,0.0,0.0,2445.972,19.965067064069263,19.930746628174603
1,1999,1,1,2,0,-3.0,-6.0,77.0,1/1/2017 1:00,20,9.4,62265.652,0.0,0.0,190059.605,19.874332730735922,19.754281925793645
2,1999,1,1,3,0,-4.0,-7.0,77.0,1/1/2017 2:00,20,9.4,65841.82,0.0,0.0,195298.27479999996,19.91034753073592,19.766222378174593
3,1999,1,1,4,0,-2.0,-5.0,78.0,1/1/2017 3:00,20,9.4,42265.72,0.0,1057.95,176320.395,19.935009730735917,19.900994592460304
4,1999,1,1,5,0,-2.0,-4.0,85.0,1/1/2017 4:00,20,9.4,164732.14,0.0,1057.95,564491.625,19.96943381406925,19.93849425912697
5,1999,1,1,6,0,-1.0,-2.0,92.0,1/1/2017 5:00,20,9.4,76226.64,0.0,1057.95,194244.1135,19.9663155021645,19.923424105555537
6,1999,1,1,7,0,-1.0,-1.0,100.0,1/1/2017 6:00,20,9.4,3804870.87,0.0,84259.701,9616293.75,19.620731287878794,19.584127208333324
7,1999,1,1,8,0,-1.0,-1.0,100.0,1/1/2017 7:00,20,9.4,3316977.12,795.2919999999999,17770.72,8720105.76,19.60989878787879,19.58283370833333
8,1999,1,1,9,0,0.0,-1.0,92.0,1/1/2017 8:00,20,9.4,1095418.315,2269.337,16724.54,2648918.9635,19.753865458333348,19.791536208333333
9,1999,1,1,10,0,2.0,-1.0,80.0,1/1/2017 9:00,20,9.4,750839.455,17957.506999999998,56318.3608,2246736.52,19.817472291666668,19.856845875000015
10,1999,1,1,11,0,2.0,-1.0,80.0,1/1/2017 10:00,20,9.4,741422.6059999999,24891.52,56318.3608,2150695.695,19.828644166666667,19.866112625000014
11,1999,1,1,12,0,1.0,-2.0,79.0,1/1/2017 11:00,20,9.4,735736.9990000001,92524.931,82607.5398,1776152.355,19.81784583333334,19.850974250000007
12,1999,1,1,13,0,3.0,-3.0,63.0,1/1/2017 12:00,20,9.4,1147444.135,48677.39,119587.25399999999,2926232.5145,19.815323533333334,19.730164500000008
13,1999,1,1,14,0,2.0,-4.0,62.0,1/1/2017 13:00,20,9.4,797295.131,41089.115,83440.54720000002,2418018.54665,19.789282708333324,19.679140500000006
