index,uuid,total_runtime,energyplus_runtime,total_measure_runtime,other_runtime,number_of_measures,ambient_loop_prototype_building_runtime,change_building_location_runtime,ambient_loop_add_ets_system_runtime,ambient_loop_temperature_setpoint_runtime,hot_water_loop_design_temperature_runtime,internal_loads_multiplier_runtime,openstudio_results_runtime,ambient_loop_reports_runtime
0,00d6c483-0513-425a-9966-bee08685d134,73.0,20.28,45.0,7.719999999999999,8,23.0,2.0,1.0,0.0,1.0,0.0,16.0,2.0
1,03aa3e18-15ea-4694-9af9-b166258afed6,52.0,16.14,30.0,5.859999999999999,8,14.0,1.0,1.0,0.0,0.0,1.0,11.0,2.0
2,0412e44b-dcd2-4da8-be77-10739bbb5119,61.0,19.1,34.0,7.899999999999999,8,17.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0
3,0560bbcb-82dd-4b6a-b234-17fd280970e7,72.0,19.69,46.0,6.310000000000002,8,25.0,1.0,1.0,0.0,1.0,0.0,15.0,3.0
4,07fc4b95-21d7-422d-b902-c7dad1897c7b,56.0,15.85,32.0,8.149999999999999,8,15.0,1.0,0.0,1.0,0.0,0.0,14.0,1.0
5,0c4aba19-75e2-4b5b-92e1-f746c7e06f6d,63.0,18.89,35.0,9.11,8,18.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0
6,0f53b721-15a0-4402-a42f-669488bf365f,77.0,20.27,48.0,8.730000000000004,8,26.0,2.0,1.0,0.0,0.0,0.0,17.0,2.0
7,10b61642-d0ac-4ab0-941b-fee99888ae40,54.0,15.85,31.0,7.149999999999999,8,18.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0
8,17fefc0c-9460-4da7-90c8-d2a36d392496,59.0,16.11,34.0,8.89,8,18.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0
9,1b170152-2da6-4529-bca4-eb6f272e4c64,54.0,15.55,30.0,8.450000000000003,8,15.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0
10,1ee6daa6-9c7d-4884-8ae4-2fcbca2a5cf8,52.0,15.87,30.0,6.130000000000003,8,15.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0
11,21e6f96e-387b-4d99-89d5-9aeb89d1fc08,74.0,21.14,44.0,8.86,8,22.0,1.0,0.0,1.0,0.0,0.0,17.0,3.0
12,27adbc68-3bbc-4b00-904d-5ed077440076,53.0,16.18,30.0,6.82,8,16.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0
13,290c1b2a-06b7-4e73-91b0-d93970d85cf2,52.0,15.42,29.0,7.579999999999998,8,15.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0
14,2c4cd407-7737-48db-887f-fe3c2600da8e,57.0,15.08,35.0,6.920000000000002,8,20.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0
15,32e662a0-1386-4f81-b3d3-8dd2ecf15b3c,54.0,16.11,31.0,6.890000000000001,8,14.0,1.0,1.0,0.0,1.0,0.0,13.0,1.0
16,370cae37-4a13-45fb-9b09-e125e8be70d5,62.0,19.08,36.0,6.920000000000002,8,18.0,1.0,1.0,1.0,0.0,0.0,13.0,2.0
17,380bcaf7-4a58-4df7-b853-18d2e7a49d52,75.0,20.42,44.0,10.579999999999998,8,25.0,1.0,1.0,0.0,1.0,0.0,14.0,2.0
18,3859cdba-8c66-4a02-be2c-2644b3ef7ee8,59.0,17.32,32.0,9.68,8,16.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0
19,3b0a2cf0-37bd-45be-8839-3cfdf5f3665c,72.0,19.46,45.0,7.539999999999999,8,24.0,1.0,1.0,0.0,1.0,0.0,16.0,2.0
20,402043d5-c402-4d4d-97f0-f6d5369906ac,61.0,19.08,35.0,6.920000000000002,8,17.0,1.0,1.0,0.0,1.0,0.0,13.0,2.0
21,40a1c27d-233d-41eb-a17c-1786418e5a34,55.0,15.19,34.0,5.810000000000002,8,18.0,1.0,1.0,0.0,0.0,1.0,12.0,1.0
22,40dd2b41-f589-4bf4-adb8-780072a486e2,54.0,15.49,31.0,7.509999999999998,8,15.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0
23,42efa1f5-3082-4b56-a35e-d082b287678b,58.0,17.51,33.0,7.489999999999995,8,16.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0
24,43cc3c34-10dc-4379-b895-9c9ab5b6167b,54.0,15.69,32.0,6.310000000000002,8,17.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0
25,4b023d68-3efb-4272-b51f-29480f32bb6d,59.0,17.66,35.0,6.340000000000003,8,19.0,1.0,1.0,0.0,0.0,0.0,12.0,2.0
26,4d3604ff-a0f5-4018-8a1f-c512f2e372dc,53.0,15.94,30.0,7.060000000000002,8,16.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0
