index,uuid,total_runtime,energyplus_runtime,total_measure_runtime,other_runtime,number_of_measures,ambient_loop_prototype_building_runtime,change_building_location_runtime,ambient_loop_add_ets_system_runtime,ambient_loop_temperature_setpoint_runtime,hot_water_loop_design_temperature_runtime,internal_loads_multiplier_runtime,openstudio_results_runtime,ambient_loop_reports_runtime
75,cc0d4ec6-d909-44ec-95da-f59a9d530f6a,46,14.47,26,5.53,8,14,1,0,0,1,0,8,2
76,d0bf35c9-ae0a-4f3c-a7b1-c2b18d9c1c92,94,32.61,50,11.39,8,22,2,1,0,1,0,19,5
77,d631329b-6829-43f8-8f55-96d23e9a48f7,39,12.58,22,4.42,8,11,1,0,1,0,0,7,2
78,d9067fde-65c0-4805-9795-f0e3e08b060e,44,14.46,23,6.54,8,11,1,0,0,0,0,9,2
79,d9556092-c1d3-40ca-9305-ad3183e86184,123,45.96,64,13.04,8,36,2,2,0,1,0,19,4
81,da2f7d56-80a9-468c-b3ea-09c48c202c77,44,13.55,25,5.45,8,13,1,0,1,0,0,9,1
82,dac868bc-8b5c-4100-8a4d-d7855b5c3dbc,45,14.67,24,6.33,8,11,1,0,0,0,0,10,2
83,dbe5092f-75f8-404c-b056-58e508dd5268,45,13.81,26,5.19,8,14,1,0,1,0,0,9,1
84,de65fe5f-8406-49fb-8793-ace57d7cb1dd,95,33.68,51,10.32,8,23,2,1,0,1,0,20,4
85,e07edde0-d6a7-4664-9d9a-357934e09585,43,13.42,25,4.58,8,12,1,1,0,0,0,9,2
86,e267f041-1050-4967-b306-4c0a8ef2f4c8,44,13.4,25,5.6,8,13,1,0,0,0,0,9,2
88,e89e8b7e-9803-46f1-bc78-32617bb12222,45,14.83,24,6.17,8,11,1,0,0,0,0,10,2
89,edf71b34-fa2a-4888-b5af-0aa6a46f6a03,47,14.44,26,6.56,8,15,0,1,0,0,0,9,1
90,f0997ec5-2b55-4fa1-89c4-f83313c691a3,94,32.58,50,11.42,8,21,2,1,0,0,0,21,5
91,f2c35321-8234-4097-aae1-f3b8f9e1be1d,125,45.66,62,17.34,8,28,4,1,0,1,1,23,4
92,f41f153a-b23d-44a9-87cf-747edbd00314,44,13.47,25,5.53,8,12,1,1,0,0,0,9,2
93,f4758b7f-ae52-451e-86e5-1dbfcaa4fc72,38,11.4,22,4.6,8,12,0,1,0,0,0,8,1
94,f4c957df-2db8-4f9e-be6e-39f8fa64ea8f,37,12.8,20,4.2,8,9,1,0,0,0,1,8,1
95,f6ea95ac-a872-4c0b-889a-c226161e9b28,45,15.54,25,4.46,8,12,1,1,0,0,0,9,2
96,f8ca9fa2-1427-4cf1-a554-f006ea703ded,39,12.25,23,3.75,8,12,1,0,0,1,0,7,2
97,fb932da0-61fa-4d2d-9919-22cd0ce1d39d,46,13.99,25,7.01,8,15,0,1,0,0,0,8,1
98,fb9a0da8-1a33-46e5-9629-962fd8f54d4a,89,28.76,49,11.24,8,26,2,1,0,0,0,17,3
99,ff25e3d4-b2f8-44af-afa1-294cd3c26801,123,46,67,10,8,37,2,2,1,0,1,19,5
