datetime,month,day,hour,minute,day_of_week,heating_system,heating_ambient,heating_outlet,cooling_system,cooling_ambient,cooling_outlet
1/1/2017 0:00,1,1,0,0,0,1283.281407351905,2463.2873807616916,15.981560905722734,85.96253441995417,467.8915930190456,23.249640328638456
1/1/2017 1:00,1,1,1,0,1,1435.4901386371398,2023.771128873478,15.957864477336598,71.64270316890655,313.2930806733842,23.18368941857115
1/1/2017 2:00,1,1,2,0,2,1420.8345260091382,2355.4764769196568,15.913430185405568,90.95600673131825,456.2718423908877,23.630776811259036
1/1/2017 3:00,1,1,3,0,3,878.7528097770477,1471.0643758506262,15.87004339378649,79.35007103457245,454.9277318715889,23.494627875645282
1/1/2017 4:00,1,1,4,0,4,259.82155669766496,739.6356133143705,15.813435499299667,54.394369288495746,346.4843446378454,22.471814904446628
1/1/2017 5:00,1,1,5,0,5,698.9176238207056,1634.4126307484871,15.964475431738663,57.863278613307635,385.5980386870056,22.595141261871433
1/1/2017 6:00,1,1,6,0,6,895.923118387692,1810.4618578184745,15.96573944318626,71.69951019524197,569.416651008142,22.831688369582462
1/1/2017 7:00,1,1,7,0,0,2613.775050677343,6114.06498943994,16.230224718450085,87.59236651836227,581.9896373171293,23.272765595305124
1/1/2017 8:00,1,1,8,0,1,1746.9294801171088,4678.4458558136275,16.00562948116713,85.97114305563512,458.79437493026904,23.25789204519951
1/1/2017 9:00,1,1,9,0,2,925.8158439989888,2487.8805926791365,15.996943128177744,131.5948034017019,655.0846381401085,23.729965389493152
1/1/2017 10:00,1,1,10,0,3,542.6626708680842,1410.7248316442958,15.934754846726893,137.6933988145235,683.4268686042866,23.79701592502172
1/1/2017 11:00,1,1,11,0,4,355.3848108240542,738.2735066161781,15.693742389016819,124.35178954444767,582.412549292288,23.115081673069884
1/1/2017 12:00,1,1,12,0,5,1304.5131115034906,3497.0803907284285,15.979416886172102,129.5694462271511,503.8892868235201,23.397386984693696
1/1/2017 13:00,1,1,13,0,6,699.4386097643885,1733.2181889183494,16.030101489318028,181.95882790407128,594.8836794542005,23.504599737614804
1/1/2017 14:00,1,1,14,0,0,470.3925506918889,1256.4693079152473,16.022053587188193,271.2161182916886,750.7091078785719,23.256005306571108
1/1/2017 15:00,1,1,15,0,1,404.270095446768,888.3276756682702,16.038348162176025,212.57643579133955,816.7608673545557,23.004614564454574
1/1/2017 16:00,1,1,16,0,2,422.98797494196504,923.4491466484222,16.01610272024391,189.94238313562536,988.9828037098436,23.501636775149485
1/1/2017 17:00,1,1,17,0,3,336.30346012756434,785.2847923097125,15.932215253755247,217.92178421507575,890.2584689104938,23.9429069086674
1/1/2017 18:00,1,1,18,0,4,474.7827835070577,1289.7449376611798,15.782511625797438,89.6494173515779,366.07400523557845,22.81064412635747
1/1/2017 19:00,1,1,19,0,5,1724.1955841620695,4199.608793200867,16.036586668880258,85.17537048019832,329.4679446535832,22.87648353880309
1/1/2017 20:00,1,1,20,0,6,1106.1313951975187,3283.6339658726856,15.998043076796568,127.69923129029058,432.6097891683134,22.96278995369548
1/1/2017 21:00,1,1,21,0,0,826.0324530868536,1838.7326977606683,16.10992710022373,168.28083099570813,774.2192148765896,23.14470689957694
1/1/2017 22:00,1,1,22,0,1,693.4188515336593,1630.2848327789766,15.997891318828186,95.5539483159466,403.8813594010222,22.8974112258823
1/1/2017 23:00,1,1,23,0,2,759.8901660475866,1617.8650945469149,15.927937272725744,107.70911698120868,460.99309605856973,23.583610027107238
1/2/2017 0:00,1,2,0,0,3,940.2439546503487,1995.3431619618766,15.842053156340834,61.5875520491737,444.75137152013485,23.32801552033856
1/2/2017 1:00,1,2,1,0,4,358.34981282836856,942.2285340446467,15.969754716475622,57.448861972537834,386.2146025119991,22.665091470204768
1/2/2017 2:00,1,2,2,0,5,577.7727534902332,1225.225746002019,15.98399381151796,57.448861972537834,387.15431156588045,22.595141261871433
1/2/2017 3:00,1,2,3,0,6,971.4561190034497,2061.7444966116705,15.940084907975905,75.15113562423628,543.4953263179584,22.824126395488253
1/2/2017 4:00,1,2,4,0,0,1851.8052287606095,2952.943976418276,15.944451231432565,85.96253441995417,477.9208278689652,23.249640328638456
1/2/2017 5:00,1,2,5,0,1,2231.0095082790067,3759.438719230182,16.021645385970498,47.96400132107773,342.0886975439298,23.009621993568366
1/2/2017 6:00,1,2,6,0,2,2245.347820657756,3790.2814658388893,15.94818872824012,61.5875520491737,444.75137152013485,23.461042334974195
1/2/2017 7:00,1,2,7,0,3,3210.324742867942,7405.493014420772,15.958179741185123,61.5875520491737,444.75137152013485,23.32801552033856
1/2/2017 8:00,1,2,8,0,4,791.1811715702419,3059.7267834475524,15.87876804637906,75.00703650287463,385.534698196356,22.54639309313294
1/2/2017 9:00,1,2,9,0,5,2862.647367782114,7331.636753733884,16.083016756855095,114.62914840923331,434.1448953512156,22.859139114501065
1/2/2017 10:00,1,2,10,0,6,1497.5632181008598,3457.9705265497914,16.143179931655137,184.01677040712514,705.3017150417788,23.276947022240048
1/2/2017 11:00,1,2,11,0,0,763.2670246774535,1880.500987866213,16.056552991125105,163.37818612548958,703.1281488123185,23.193204595168133
1/2/2017 12:00,1,2,12,0,1,615.1740329724875,1452.399614171004,16.077000553528602,180.48593361806815,620.6783184277891,23.351523749564837
1/2/2017 13:00,1,2,13,0,2,630.3349699223402,1489.3045859406961,16.167360282901118,228.69234350115119,719.4325112063697,23.804966541399697
1/2/2017 14:00,1,2,14,0,3,492.26108844831,1438.9797723242436,15.98715300463998,219.25233996992372,857.5049033491437,24.0021423827808
1/2/2017 15:00,1,2,15,0,4,517.3417621634464,1274.9042772589817,15.825135415709322,224.55182184347126,767.5190402132305,23.394655730248907
1/2/2017 16:00,1,2,16,0,5,2054.9253833414878,5108.8242452728355,16.03131460944577,224.24183255864398,780.7327375853868,23.332059883376818
1/2/2017 17:00,1,2,17,0,6,1635.7531431588066,3555.8399887467854,16.02507928237803,260.5434834440046,860.4812791692395,23.52689167365021
1/2/2017 18:00,1,2,18,0,0,1179.8779058251193,3076.2699208025815,16.065981208079997,142.2805003770021,403.20509882277224,22.743214215267372
