Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy,_id,ambient_loop_temperature_setpoint.setpoint_temperature
01/01/2009 01:00,1,1,4,1,0,-8.3,84,894148,0,15.5173,15.5173,20,15.5173,0.0342885,0,2.31549e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 02:00,1,1,4,2,0,-7.8,84,758146,0,15.5172,15.5172,20,15.5172,0.0279519,0,1.88762e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 03:00,1,1,4,3,0,-8.3,88,407362,0,15.517,15.517,20,15.517,0.0136858,0,924252,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 04:00,1,1,4,4,0,-7.8,88,920355,0,15.5176,15.5176,20,15.5176,0.0354551,0,2.39411e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 05:00,1,1,4,5,0,-7.8,92,1.05724e+06,0,15.5173,15.5173,20,15.5173,0.0418101,0,2.82341e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 06:00,1,1,4,6,0,-7.2,92,1.19999e+06,0,15.517,15.517,20,15.517,0.0484828,0,3.27423e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 07:00,1,1,4,7,0,-6.7,92,1.00725e+06,0,15.517,15.517,20,15.517,0.0394682,0,2.66546e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 08:00,1,1,4,8,0,-6.1,92,1.27362e+06,0,15.517,15.517,20,15.517,0.0519207,0,3.50643e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 09:00,1,1,4,9,0,-5.6,92,1.27305e+06,0,15.517,15.517,20,15.517,0.0518965,0,3.50479e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 10:00,1,1,4,10,0,-3.3,92,334490,0,15.517,15.517,20,15.517,0.0103282,0,697508,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 11:00,1,1,4,11,0,3.9,70,984608,0,15.5173,15.5173,20,15.5173,0.0384693,0,2.5978e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 12:00,1,1,4,12,0,-3.9,88,691984,0,15.5171,15.5171,20,15.5171,0.0268669,0,1.8144e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 13:00,1,1,4,13,0,-0.6,89,425992,0,15.517,15.517,20,15.517,0.0145367,0,981726,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 14:00,1,1,4,14,0,2.2,79,0,0,15.517,15.517,15.517,15.517,0,0,0,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 15:00,1,1,4,15,0,3.3,76,0,0,15.517,15.517,15.517,15.517,0,0,0,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 16:00,1,1,4,16,0,4.4,65,0,0,15.517,15.517,15.517,15.517,0,0,0,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 17:00,1,1,4,17,0,3.3,73,0,0,15.517,15.517,15.517,15.517,0,0,0,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 18:00,1,1,4,18,0,0,82,0,0,15.517,15.517,15.517,15.517,0,0,0,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 19:00,1,1,4,19,0,-0.6,82,101958,0,15.517,15.517,20,15.517,0.00225312,0,152161,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 20:00,1,1,4,20,0,-3.3,88,158933,0,15.517,15.517,20,15.517,0.00400984,0,270799,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 21:00,1,1,4,21,0,-3.3,81,248131,0,15.517,15.517,20,15.517,0.00810383,0,547284,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 22:00,1,1,4,22,0,-5.6,88,677456,0,15.5174,15.5174,20,15.5174,0.0262127,0,1.7701e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
01/01/2009 23:00,1,1,4,23,0,-3.3,85,524750,0,15.5171,15.5171,20,15.5171,0.019118,0,1.29108e+06,0,08dbc189-e862-47cc-928b-26a7adfbcc58,20.0
