slope,p_value,std_err,intercept,name,spearman,pearson,r_squared,rf_r_squared,r_value
0.9989908773677784,0.0,6.804039081656479e-05,365.9307014705846,HeatingElectricity,"SpearmanrResult(correlation=0.9988699263048649, pvalue=0.0)","(0.9993910161774151, 0.0)",0.9987824032161243,0.9987823591103749,0.9993910161774141
0.9996748455627923,0.0,3.983303166283562e-05,485.7111916176509,CoolingElectricity,"SpearmanrResult(correlation=0.998845228212262, pvalue=0.0)","(0.9997914427099265, 0.0)",0.9995829289159982,0.9995829202814209,0.9997914427099275
0.9999163452418266,0.0,3.5768928664283596e-05,1379.7330101691186,DistrictCoolingChilledWaterEnergy,"SpearmanrResult(correlation=0.9981634659083883, pvalue=0.0)","(0.9998319002483294, 0.0)",0.9996638287541861,0.9996637621174921,0.9998319002483298
0.9994513754703597,0.0,4.8246180559171935e-05,512.7330859808717,DistrictHeatingHotWaterEnergy,"SpearmanrResult(correlation=0.9984560416932322, pvalue=0.0)","(0.999693948025932, 0.0)",0.9993879897196767,0.9993879856056918,0.9996939480259329
0.9991778153177953,0.0,5.183713533309731e-05,0.017875286972486748,ETSHeatingOutletTemperature,"SpearmanrResult(correlation=0.9997016776755803, pvalue=0.0)","(0.9996465254378777, 0.0)",0.9992931758200245,0.9992931484262718,0.9996465254378792
0.999177935786188,0.0,5.11951240694569e-05,0.01785937484594058,ETSCoolingOutletTemperature,"SpearmanrResult(correlation=0.9997096670606749, pvalue=0.0)","(0.9996552224798296, 0.0)",0.9993105638311974,0.999310531610565,0.9996552224798295
