name,slope,intercept,r_value,p_value,std_err,r_squared,rf_r_squared,spearman,pearson
HeatingTotal,0.2096003942492127,4912806.227687532,0.45274179004057036,0.0,0.0011387738658334944,0.2049751284491399,0.20482417789155682,0.5208363761140472,0.45274179004057097
CoolingElectricity,0.6705914149653152,19035812.77371607,0.8170504027312007,0.0,0.0013054612325814204,0.6675713606032172,0.6675571547272902,0.8269056915031919,0.8170504027312013
